,Accuracy,Precision,Recall,F1-Score,FAR,FRR
CustomCNN (Adam),0.9294478527607362,0.8749431947284709,0.9294478527607362,0.90137232143728,0.006557377049180328,1.0
CustomCNN (SGD),0.8803680981595092,0.871793084216397,0.8803680981595092,0.8760596082827089,0.05901639344262295,1.0
DeepCNN (Adam),0.9141104294478528,0.8739927303498279,0.9141104294478528,0.8936015416076765,0.022950819672131147,1.0
DeepCNN (SGD),0.9079754601226994,0.873604149329411,0.9079754601226994,0.890458248673387,0.029508196721311476,1.0
